Sha256,Cohort,GroupId,SourceWidth,SourceHeight,SourceRgbSha256,TargetRgbSha256,TensorSha256,PNoFactura,PFactura,Pred050,Zona
73938D63A261576FFEB30B2C0E33DBE085B1C870F5DFA41FB6DE596F57A839D8,DEVELOPMENT,factura-avon-a-impresa,2479,3508,6A37ECCFA712EFC6DE79DB06A398A70A3BC9FCB684C8E167933696BC84D22AA6,D637123011934E47E31B6B0E633E0BCF74482B69A1ED6B29EBAA93D56129FA97,A6E19709177481DE290B0E65B7C65D2446EB2348017F9DDB9B714797DF67296E,0.150459051,0.849540949,FACTURA,FACTURA_FUERTE
94A5BB490143CEE934380D4FEB4659ABE2DD005FCE09BA87046839EC01B9A049,DEVELOPMENT,factura-avon-a-impresa,3000,4000,280D88BD44C623FE68967C4306BABBB117E0195BACC21E14F6A9E5717F8EDFD0,C5CB5969667E39A7F3A062BB75991684E67F0D38A53D2274E1DAD879AC2BE327,D785765D611A69EAE5F8506D4B71C2AF5A7CDF6E9958C7EA608DCC219EA4ECDE,0.451547086,0.548452914,FACTURA,INCIERTO_VISUAL
34E7190B10DE1060A821BA5B262D16CF469116C53FAA10A487AE71EDA02DE220,DEVELOPMENT,factura-familia-aquavita,2550,3299,7F1CD968E4F9A100B9657C6CCEA8DCAAC56D55FC5BBCCC788D9192A27373AE25,B6D6E030EDDFC47D83CE524B6070D6C7A4709A96D6D425BFD9A52EAA6CAA11B3,79743B3DBC73DF3D3C18DED9063BFD4DC2DAE61C513F12E229766A8F2B633472,0.202812806,0.797187209,FACTURA,INCIERTO_VISUAL
83E0306FF5707DBDEBFC9AD88A3634DF1D24B33FAA5A733B74A629090F74A53D,DEVELOPMENT,factura-familia-aquavita,2480,3507,019ACA5F93C3601F28856421C09DAC562BD319BA557C2558D597436118149478,4ACBC7F845F8FED8C9C82ADDDFA85AB293FFF7D541AB301D6B35ADB670D4C691,2A95A7B02FE07B7C125DC2BE08581A9C8AF3E2DAF0C9A3BB09688FDF678DB01D,0.283829570,0.716170430,FACTURA,INCIERTO_VISUAL
030126CE7D614353FF03F90C126B6D2C3746D913B36523810DF4F1B51326D882,DEVELOPMENT,factura-familia-arca-fce-standard,2479,3508,C038E675F9D482B8DF07BFD134C940D71F7884BE2F8582063A4F7225A85BE4FB,93801DC87F3C0228E049E6BD6362CD7E63C6AAC7B499021F6F030452C46530A7,B4AC9BD6F923B2B292E78AA4395FB658BCE150398C8A25F1CB4118DF25547B3E,0.282537907,0.717462122,FACTURA,INCIERTO_VISUAL
53531D26119A3A91D8160D16D8081238C94A83B00EADEEECB6BED96F35C0D21F,DEVELOPMENT,factura-familia-arca-fce-standard,2479,3508,DFDB7C4419B9DBCEFBEAE94C05B2CBA862D5E8DFEBF2F72C35E00BB717AFC27C,412C7D80109BCDF8E300028049E1AC9575E1155050A1A44EAA2D3156B72B829C,927F4A597C12095E7C477636CE4ABA4C7A24CC818DB11880BBC0577CA76E5880,0.180956468,0.819043577,FACTURA,FACTURA_FUERTE
92914214759A1969F8F6DA6FC3EAF436EEC02704E5B3141C282C9D183B15D2BC,DEVELOPMENT,factura-familia-arca-fce-standard,2479,3508,9732160213589D6AA7F335E96B24292C6D8AC7A4982EB5AA633BDB7ADD7C9D00,87A0BD01D97286BAE6FB5EE0F4830FB14B7248B05A529E48DE21B0D5048234BB,B01F93EEA27D34DBC1159267548973461DD5BCE5101FDA1FAF0BDBFF21F319F6,0.284824312,0.715175688,FACTURA,INCIERTO_VISUAL
963E9941D8D3A90BDACCFDDA949B7EEDD535A2ED456FA063B67893EC4D759786,DEVELOPMENT,factura-familia-arca-fce-standard,2479,3508,8855D66C9481F1F9804BE4C070948F139CC45DE5D48C7ABD5F631FD386EF34A2,42AA2E56234450616EDF7E79A8C803FC3A84BDE194927D1D4998F5528D1A0862,A5103BE091FFAE947CE7AA2E97F155D505A66CC030A156B73D17841AA749BA5C,0.229602516,0.770397484,FACTURA,INCIERTO_VISUAL
C2C93818726DAC52E58536C78525B62A417DEC82F9491E4941E8AEE2CFA42B42,DEVELOPMENT,factura-familia-arca-fce-standard,2479,3508,E656DBCBA75A9617F9D5FC489586740EE9C1E387E22102C263721EA0E888163A,E48871D7A464F2E17D6AC2EB397F737C24F2A032717B25E61EB985C8EB3E3EA5,894753A8237F5B5BF8EDDAC16BD29C0049FDF5E0B1E5D520E26D3F54CB1ECB09,0.319543242,0.680456758,FACTURA,INCIERTO_VISUAL
E8066B5FA877947A47862B566C3A752FD1BA514973CD2B01A7AD31803BBDD28B,DEVELOPMENT,factura-familia-ascensores-orem,2550,4200,C24675FB1F92DEA3FB9B36766647C7E2945D60645166D15D2592807B4786AAA6,94852D4A7CAE5D4B92019FFBB36A447A174902ACE3ADB4DB64E418A0652DDCDB,FCF3F6FCF708238BAF876E8E9DD6AB63B2070878F249EC8FDAE8E51D8C6C5049,0.196720883,0.803279161,FACTURA,FACTURA_FUERTE
